step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.003,1.1289,9.006316184997559,0.0,,,,,,,,,,,
2,0.007,1.2129,10.314021110534668,2.777904193701827e-06,,,,,,,,,,,
3,0.01,1.1191,8.783905982971191,4.4028739776134346e-06,,,,,,,,,,,
4,0.013,1.3281,10.827718734741211,5.555808387403654e-06,,,,,,,,,,,
5,0.016,1.126,9.957356452941895,6.4500937922616966e-06,,,,,,,,,,,
6,0.02,1.1797,9.264110565185547,7.180778171315261e-06,,,,,,,,,,,
7,0.023,1.0459,8.497113227844238,7.798563011193284e-06,,,,,,,,,,,
8,0.026,0.9814,7.438151836395264,8.33371258110548e-06,,,,,,,,,,,
9,0.029,0.8779,6.450109958648682,8.805747955226869e-06,,,,,,,,,,,
10,0.033,0.7695,6.1565775871276855,9.227997985963526e-06,,,,,,,,,,,
11,0.036,0.7207,5.305804252624512,9.609969601237248e-06,,,,,,,,,,,
12,0.039,0.6631,4.9612908363342285,9.958682365017088e-06,,,,,,,,,,,
13,0.042,0.4644,3.5159435272216797,1.0279467011564946e-05,,,,,,,,,,,
14,0.046,0.4302,2.883361339569092,1.057646720489511e-05,,,,,,,,,,,
15,0.049,0.3628,2.441237211227417,1.0852967769875131e-05,,,,,,,,,,,
16,0.052,0.3804,2.3814258575439453,1.1111616774807308e-05,,,,,,,,,,,
17,0.056,0.3433,2.5667483806610107,1.1354580168309704e-05,,,,,,,,,,,
18,0.059,0.2578,1.9272485971450806,1.1583652148928695e-05,,,,,,,,,,,
19,0.062,0.2881,1.6003003120422363,1.1800335654136308e-05,,,,,,,,,,,
20,0.065,0.2441,2.3500537872314453,1.200590217966535e-05,,,,,,,,,,,
21,0.069,0.2126,1.1699268817901611,1.2201436988806718e-05,,,,,,,,,,,
22,0.072,0.186,1.6002830266952515,1.2387873794939074e-05,,,,,,,,,,,
23,0.075,0.2327,1.7599385976791382,1.2566021728200815e-05,,,,,,,,,,,
24,0.078,0.1794,1.2927446365356445,1.2736586558718915e-05,,,,,,,,,,,
25,0.082,0.1824,1.7139127254486084,1.2900187584523393e-05,,,,,,,,,,,
26,0.085,0.1628,1.375710129737854,1.3057371205266773e-05,,,,,,,,,,,
27,0.088,0.1583,1.0707850456237793,1.3208621932840304e-05,,,,,,,,,,,
28,0.092,0.1741,0.8716446161270142,1.3354371398596937e-05,,,,,,,,,,,
29,0.095,0.1509,1.6304823160171509,1.3495005779288657e-05,,,,,,,,,,,
30,0.098,0.1318,1.369268774986267,1.3630871963576958e-05,,,,,,,,,,,
31,0.101,0.132,0.8784607648849487,1.3762282707045817e-05,,,,,,,,,,,
32,0.105,0.094,1.1198011636734009,1.3889520968509133e-05,,,,,,,,,,,
33,0.108,0.134,0.7931487560272217,1.4012843578850681e-05,,,,,,,,,,,
34,0.111,0.0958,1.0429307222366333,1.413248436201153e-05,,,,,,,,,,,
35,0.114,0.1017,0.6783227324485779,1.4248656803454982e-05,,,,,,,,,,,
36,0.118,0.1003,1.0791683197021484,1.4361556342630522e-05,,,,,,,,,,,
37,0.121,0.0721,0.6897032856941223,1.4471362351274756e-05,,,,,,,,,,,
38,0.124,0.0781,0.9499903917312622,1.4578239847838136e-05,,,,,,,,,,,
39,0.127,0.0754,0.7612012624740601,1.468234098917838e-05,,,,,,,,,,,
40,0.131,0.0956,1.419244408607483,1.4783806373367179e-05,,,,,,,,,,,
41,0.134,0.1317,1.4149932861328125,1.4882766181604204e-05,,,,,,,,,,,
42,0.137,0.0687,0.7824288606643677,1.4979341182508544e-05,,,,,,,,,,,
43,0.141,0.0819,0.8721251487731934,1.5073643618223373e-05,,,,,,,,,,,
44,0.144,0.0628,0.5850824117660522,1.51657779886409e-05,,,,,,,,,,,
45,0.147,0.0644,0.7877554893493652,1.5255841747488564e-05,,,,,,,,,,,
46,0.15,0.0748,0.696119487285614,1.5343925921902642e-05,,,,,,,,,,,
47,0.154,0.0527,0.6697515249252319,1.5430115665364723e-05,,,,,,,,,,,
48,0.157,0.0773,0.8184384703636169,1.5514490752420744e-05,,,,,,,,,,,
49,0.16,0.0584,0.5651370882987976,1.5597126022386567e-05,,,,,,,,,,,
50,0.163,0.08,0.707453191280365,1.5678091778225222e-05,,,,,,,,,,,
51,0.167,0.089,0.7620891332626343,1.5757454145923137e-05,,,,,,,,,,,
52,0.17,0.0552,0.6554856896400452,1.58352753989686e-05,,,,,,,,,,,
53,0.173,0.0717,0.6519354581832886,1.5911614251921585e-05,,,,,,,,,,,
54,0.176,0.0508,0.947191596031189,1.598652612654213e-05,,,,,,,,,,,
55,0.18,0.063,0.9244921207427979,1.6060063393498945e-05,,,,,,,,,,,
56,0.183,0.0611,0.603927493095398,1.6132275592298766e-05,,,,,,,,,,,
57,0.186,0.0915,0.685067355632782,1.6203209631749744e-05,,,,,,,,,,,
58,0.19,0.0565,0.44060733914375305,1.6272909972990483e-05,,,,,,,,,,,
59,0.193,0.0439,0.44147029519081116,1.6341418796873162e-05,,,,,,,,,,,
60,0.196,0.042,0.45491838455200195,1.6408776157278784e-05,,,,,,,,,,,
61,0.199,0.0436,0.5656101107597351,1.6475020121759948e-05,,,,,,,,,,,
62,0.203,0.0608,0.44832977652549744,1.6540186900747646e-05,,,,,,,,,,,
63,0.206,0.0449,0.4702233076095581,1.660431096642015e-05,,,,,,,,,,,
64,0.209,0.0763,0.6395816206932068,1.666742516221096e-05,,,,,,,,,,,
65,0.212,0.0615,0.7580223679542542,1.672956080382664e-05,,,,,,,,,,,
66,0.216,0.0593,0.5902727842330933,1.6790747772552507e-05,,,,,,,,,,,
67,0.219,0.0739,0.6193023920059204,1.6851014601541966e-05,,,,,,,,,,,
68,0.222,0.0362,0.33704081177711487,1.6910388555713357e-05,,,,,,,,,,,
69,0.225,0.0696,0.5698224306106567,1.696889570581425e-05,,,,,,,,,,,
70,0.229,0.067,0.4437345266342163,1.702656099715681e-05,,,,,,,,,,,
71,0.232,0.0455,0.3468973934650421,1.7083408313477785e-05,,,,,,,,,,,
72,0.235,0.037,0.5530471801757812,1.713946053633235e-05,,,,,,,,,,,
73,0.239,0.0548,0.8906680345535278,1.719473960039136e-05,,,,,,,,,,,
74,0.242,0.0532,0.8607463240623474,1.7249266544976585e-05,,,,,,,,,,,
75,0.245,0.0217,0.502112865447998,1.7303061562136828e-05,,,,,,,,,,,
76,0.248,0.0384,0.48418036103248596,1.7356144041539965e-05,,,,,,,,,,,
77,0.252,0.0531,0.5028076767921448,1.7408532612430532e-05,,,,,,,,,,,
78,0.255,0.0588,0.5114667415618896,1.7460245182880206e-05,,,,,,,,,,,
79,0.258,0.0604,0.780256986618042,1.7511298976538014e-05,,,,,,,,,,,
