epoch,eval_average,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_mit-movie,eval_mit-restaurant
0.5,0.1404202015458099,0.0,0.0,0.0,0.0,0.0,0.6461538461036166,0.3367875647170528
1.0,0.21537045065019494,0.0,0.0,0.0,0.0,0.0,0.8540305010389811,0.6535626535123834
1.5,0.23075432120075012,0.0,0.0,0.0,0.0357675111581788,0.0045351473874239,0.8596491227566876,0.7153284671029605
2.0,0.2525899064878083,0.0,0.0,0.0,0.1270588234877627,0.0236686390274834,0.8826086956018139,0.7347931872975983
2.5,0.32142728331633,0.0050251256204212,0.1046728971665354,0.0297297297136972,0.2392426849758243,0.2135922329615078,0.8826086956018139,0.7751196171745107
3.0,0.34798112801167635,0.0186046511429486,0.1525129982302713,0.0750323415043594,0.2882305844176112,0.258397932767088,0.8864628820457172,0.756626505973739
3.5,0.37854572270858927,0.0417536534123596,0.1674718196041095,0.0788863108708789,0.3629222309006271,0.3325062034240873,0.8922413792599685,0.7740384614880942
4.0,0.4390427117285496,0.0850277263909963,0.2785515319857699,0.1630824372281546,0.4559173947077891,0.4225690275609955,0.8826086956018139,0.7855421686243276
4.5,0.4840988309912616,0.1797752808513798,0.3457711442289219,0.2008438818074756,0.4944881889264608,0.4765258215461366,0.8989247311324149,0.7923627684460423
5.0,0.5182764475803302,0.227994227944687,0.4060324825485268,0.2456418383020266,0.5269943593375657,0.5190476189975238,0.8946236558635996,0.8076009500683814
5.5,0.5339769758661163,0.2637954239069003,0.4241733180798919,0.2701062214977882,0.5456012913139698,0.5218446601441434,0.9008620689151374,0.811455847204983
6.0,0.5636467838911489,0.3208279430288371,0.4429223743791226,0.3424759080300085,0.5559157211817191,0.5801886791951562,0.9012875535976856,0.8019093078255126
6.5,0.5827172392131962,0.3572327043525018,0.4617142856641802,0.402116402066362,0.563106796066461,0.5950413222639208,0.9017094016590174,0.79809976241993
7.0,0.5994143509129317,0.3702770780356204,0.4789053591289102,0.4600152322424296,0.5697959183172782,0.6088992973737475,0.896551724087553,0.811455847204983
7.5,0.6087286315382521,0.3645443195505151,0.4899328858559509,0.4930662557281244,0.5975510203580899,0.5999999999498605,0.905579399091246,0.8104265402339773
8.0,0.6331325579346262,0.3995127892315078,0.5260821309155156,0.52351097173692,0.6199505358114058,0.6388888888387421,0.9012875535976856,0.8226950354106066
8.5,0.6452501540463924,0.4094292803470565,0.5340782122404059,0.5676100628431805,0.6321934945287103,0.6373117033102238,0.905579399091246,0.8305489259639237
9.0,0.6597872233560945,0.4433617539087201,0.5582959640754515,0.5845674200591644,0.6397306396805355,0.6666666666165161,0.9059829059325198,0.8199052132197547
9.5,0.6704134339862247,0.4807692307194491,0.5707865168038166,0.5803921568128271,0.6487394957482125,0.664367816041808,0.9184549355719271,0.8293838862055323
10.0,0.6791030907389395,0.4975728154841249,0.5788288287787077,0.6128526645268746,0.6494156927712604,0.6797687860770121,0.9106382978219528,0.8246445497126436
10.5,0.6839741017291515,0.5080147964975149,0.5775280898375231,0.6098514463925919,0.6521739129933692,0.6892523363984382,0.9148936169708872,0.836104513013736
11.0,0.6854648056603015,0.5092707045235764,0.5772266064887727,0.6202036021427052,0.6571668063203853,0.69150174616637,0.9067796609665658,0.836104513013736
11.5,0.6861657854486796,0.5043478260369609,0.5850340135553119,0.6345256609142553,0.6622073578094212,0.6850574712142169,0.9006342494210801,0.8313539191895104
12.0,0.6932727739705319,0.528535980098888,0.5954545454044112,0.625294579682999,0.675630252050729,0.6735632183406564,0.9230769230265295,0.8313539191895104
